Cases
1215
1744
1774
1898
1689
1311
1116
998
924
782
742
584
470
431
417
482
456
398
454
436
556
607
587
728
720
628
589
723
728
734
754
729
691
668
641
587
538
632
602
592
554
528
641
601
641
607
595
611
516
426
336
246
221
292
339
325
308
356
278
274
247
214
201
247
228
253
239
165
242
246
318
342
398
515
554
561
599
560
553
530
480
378
422
339
418
513
574
698
802
721
734
665
757
741
887
850
874
833
905
928
856
909
943
647
515
901
962
1211
1167
1093
1022
869
799
796
754
796
677
579
438
472
445
477
491
509
533
512
517
532
466
400
458
378
415
442
406
371
370
439
395
428
518
477
491
596
490
571
558
558
586
572
645
537
591
567
481
420
459
519
670
585
707
548
522
608
738
765
629
646
459
628
585
494
428
432
387
398
452
477
522
653
641
727
937
861
1004
1071
1109
1135
1176
1154
1284
1263
1338
1282
1207
1349
1298
1123
1100
1027
978
942
838
914
942
767
630
571
728
750
955
945
850
934
919
840
796
623
665
672
675
753
722
558
671
738
603
723
884
1172
1064
951
1184
1070
1028
966
920
714
714
702
650
692
627
637
612
577
655
721
758
679
733
856
679
827
816
806
875
924
956
1061
1108
1024
1410
1336
1475
1334
1353
1130
924
942
908
811
776
658
428
678
569
634
568
599
695
866
848
857
1006
1245
1278
1143
1251
1387
1332
1830
2120
2332
2406
2317
2217
2469
2415
2612
2695
2517
2663
2620
2340
2391
2585
2408
2390
2186
2308
1865
1503
1647
2175
2457
2525
2431
1708
1686
1733
1512
1203
907
634
686
556
552
489
397
376
421
451
547
505
451
481
499
506
516
582
589
505
547
570
586
630
620
610
681
811
757
836
813
899
829
881
880
1095
991
918
960
1030
935
605
830
1106
1108
1088
1073
1004
1004
851
798
856
833
812
692
711
496
631
607
497
610
567
626
628
622
654
767
677
636
664
736
737
834
985
1090
1108
1319
1367
1609
1669
2091
1845
1996
2114
2348
2497
2711
2794
2994
2932
2787
2507
1880
1153
1148
1899
1827
1946
1979
1915
1740
1476
1730
1607
1648
1735
1563
1088
1599
1468
1509
1696
2013
2107
2637
3031
3399
3591
3417
3184
3388
3388
3393
3471
3348
3455
3521
3606
3338
2953
3119
2826
2718
2509
2380
2372
2491
2684
2768
2765
2597
2430
1948
1867
1668
1199
964
1247
1444
1454
1389
1224
1059
867
830
732
867
830
732
497
595
628
624
408
372
329
375
449
431
458
460
436
484
405
503
497
457
460
509
480
491
532
511
525
525
440
518
451
534
580
491
579
564
713
632
654
570
454
414
492
650
617
623
593
544
458
448
477
462
443
457
345
248
440
402
409
434
503
584
634
807
920
1032
1096
1188
1109
1166
1015
1160
1212
1281
1304
1441
1367
1499
1466
1488
1452
1275
1166
1376
1398
1310
1448
1454
1504
1318
1332
1066
943
699
625
1079
1117
1134
1166
1058
1008
1013
1025
865
890
880
564
811
710
594
683
683
732
900
978
1084
1087
1111
1109
944
920
991
954
897
958
1183
1082
1091
1146
1121
1249
1387
1652
1706
1963
2033
2015
2211
2209
2101
2038
2027
1943
2062
1753
1353
1109
2065
2123
1989
1853
1742
1617
1296
882
777
1014
917
875
865
699
457
655
511
565
598
670
688
879
1024
1038
1055
1242
1378
1575
1364
1520
1770
2126
2020
